Comment,Designator,Footprint,LCSC
10uF,C12,C_0402_1005Metric,
USB_B_Micro,J4,USB_Micro-B_Amphenol_10118194_Horizontal,
BOOTSEL,SW1,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,
100nF,C5,C_0402_1005Metric,
27.4,R2,R_0402_1005Metric,
RUN,SW2,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,
DEBUG,J2,PinSocket_1x04_P2.54mm_Vertical,
15pF,C15,C_0402_1005Metric,
15pF,C16,C_0402_1005Metric,
10k,R8,R_0402_1005Metric,
GPIO,J3,PinSocket_1x12_P2.54mm_Vertical,
RFM95W-915S2,U4,HOPERF_RFM9XW_SMD,
100nF,C9,C_0402_1005Metric,
1uF,C11,C_0402_1005Metric,
NCP1117DT33G,U3,NCP1117DT50G,
100nF,C1,C_0402_1005Metric,
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,
27.4,R1,R_0402_1005Metric,
1k,R7,R_0402_1005Metric,
BLE5201,U5,BLE5201,
10uF,C13,C_0402_1005Metric,
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,
100nF,C4,C_0402_1005Metric,
100nF,C2,C_0402_1005Metric,
1k,R6,R_0402_1005Metric,
ABM8G-12.000MHZ-18-D2Y-T,Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,
100nF,C6,C_0402_1005Metric,
100nF,C7,C_0402_1005Metric,
1uF,C8,C_0402_1005Metric,
10k,R5,R_0402_1005Metric,
100nF,C10,C_0402_1005Metric,
100nF,C3,C_0402_1005Metric,
100nF,C14,C_0402_1005Metric,
ANT,J1,BWU.FL-IPEX1,
