Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,
"C2, C3, C4, C5",0805,4,0.1uF,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Power,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Servo,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Servo,
J4,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
J5,PinSocket_1x02_P2.54mm_Vertical,1,M1,
J6,PinSocket_1x02_P2.54mm_Vertical,1,M2,
"R1, R2",0805,2,0.2,
R3,0805,1,10k,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-A,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
"U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,2,A4950E,
